paper_id	title	year	topic	note_path	pdf_path	source_url	status	priority
arxiv:2511.00796	AReaL-Hex: Asynchronous RL over Heterogeneous GPUs	2025	rl-systems	Papers/AReaL-Hex.md	PDFs/rl-systems/2511.00796__areal-hex.pdf	https://arxiv.org/pdf/2511.00796.pdf	unread	systems-core
arxiv:2512.22560	RollArt / RollArc: Agentic RL on Disaggregated Infrastructure	2025	rl-systems	Papers/RollArt.md	PDFs/rl-systems/2512.22560__rollart.pdf	https://arxiv.org/pdf/2512.22560.pdf	unread	systems-core
arxiv:2604.23838	JigsawRL	2026	rl-systems	Papers/JigsawRL.md	PDFs/rl-systems/2604.23838__jigsawrl.pdf	https://arxiv.org/pdf/2604.23838.pdf	unread	systems-core
arxiv:2407.04656	Lazarus: Elastic MoE Training with Adaptive Expert Replication	2024	moe-training-systems	Papers/Lazarus.md	PDFs/moe-training-systems/2407.04656__lazarus.pdf	https://arxiv.org/pdf/2407.04656.pdf	unread	systems-core
arxiv:2505.24298	AReaL: Large-Scale Asynchronous RL System for Language Reasoning	2025	rl-systems	Papers/AReaL.md	PDFs/rl-systems/2505.24298__areal.pdf	https://arxiv.org/pdf/2505.24298.pdf	unread	systems-core
arxiv:2409.19256	HybridFlow / veRL: Flexible Efficient RLHF Framework	2024	rl-systems	Papers/HybridFlow veRL.md	PDFs/rl-systems/2409.19256__hybridflow-verl.pdf	https://arxiv.org/pdf/2409.19256.pdf	unread	systems-core
arxiv:2405.11143	OpenRLHF	2024	rl-systems	Papers/OpenRLHF.md	PDFs/rl-systems/2405.11143__openrlhf.pdf	https://arxiv.org/pdf/2405.11143.pdf	unread	systems-core
arxiv:2505.24034	LlamaRL	2025	rl-systems	Papers/LlamaRL.md	PDFs/rl-systems/2505.24034__llamarl.pdf	https://arxiv.org/pdf/2505.24034.pdf	unread	systems-core
arxiv:2512.07710	Each Prompt Matters: Hundred-Billion-Scale MoE RL	2025	rl-systems	Papers/Each Prompt Matters.md	PDFs/rl-systems/2512.07710__each-prompt-matters.pdf	https://arxiv.org/pdf/2512.07710.pdf	unread	systems-core
arxiv:2502.18449	SWE-RL: RL on Open Software Evolution	2025	swe-rl-workloads	Papers/SWE-RL.md	PDFs/swe-rl-workloads/2502.18449__swe-rl.pdf	https://arxiv.org/pdf/2502.18449.pdf	unread	systems-core
arxiv:2512.18552	Self-play SWE-RL	2025	swe-rl-workloads	Papers/Self-play SWE-RL.md	PDFs/swe-rl-workloads/2512.18552__self-play-swe-rl.pdf	https://arxiv.org/pdf/2512.18552.pdf	unread	systems-core
arxiv:2506.11425	Agent-RLVR	2025	swe-rl-workloads	Papers/Agent-RLVR.md	PDFs/swe-rl-workloads/2506.11425__agent-rlvr.pdf	https://arxiv.org/pdf/2506.11425.pdf	unread	systems-core
arxiv:2506.11442	ReVeal: Self-Evolving Code Agents via Self-Verification	2025	swe-rl-workloads	Papers/ReVeal.md	PDFs/swe-rl-workloads/2506.11442__reveal-self-evolving-code-agents.pdf	https://arxiv.org/pdf/2506.11442.pdf	unread	systems-core
arxiv:2201.05596	DeepSpeed-MoE	2022	moe-training-systems	Papers/DeepSpeed-MoE.md	PDFs/moe-training-systems/2201.05596__deepspeed-moe.pdf	https://arxiv.org/pdf/2201.05596.pdf	unread	systems-core
arxiv:2103.13262	FastMoE	2021	moe-training-systems	Papers/FastMoE.md	PDFs/moe-training-systems/2103.13262__fastmoe.pdf	https://arxiv.org/pdf/2103.13262.pdf	unread	systems-core
arxiv:2205.10034	SE-MoE	2022	moe-training-systems	Papers/SE-MoE.md	PDFs/moe-training-systems/2205.10034__se-moe.pdf	https://arxiv.org/pdf/2205.10034.pdf	unread	systems-core
arxiv:2203.14685	HetuMoE	2022	moe-training-systems	Papers/HetuMoE.md	PDFs/moe-training-systems/2203.14685__hetumoe.pdf	https://arxiv.org/pdf/2203.14685.pdf	unread	systems-core
arxiv:2206.03382	Tutel	2022	moe-training-systems	Papers/Tutel.md	PDFs/moe-training-systems/2206.03382__tutel.pdf	https://arxiv.org/pdf/2206.03382.pdf	unread	systems-core
arxiv:2211.15841	MegaBlocks	2022	moe-training-systems	Papers/MegaBlocks.md	PDFs/moe-training-systems/2211.15841__megablocks.pdf	https://arxiv.org/pdf/2211.15841.pdf	unread	systems-core
arxiv:2303.06318	DeepSpeed-TED	2023	moe-training-systems	Papers/DeepSpeed-TED.md	PDFs/moe-training-systems/2303.06318__deepspeed-ted.pdf	https://arxiv.org/pdf/2303.06318.pdf	unread	systems-core
arxiv:2411.01288	HEXA-MoE	2024	moe-training-systems	Papers/HEXA-MoE.md	PDFs/moe-training-systems/2411.01288__hexa-moe.pdf	https://arxiv.org/pdf/2411.01288.pdf	unread	systems-core
arxiv:2504.03871	HeterMoE	2025	moe-training-systems	Papers/HeterMoE.md	PDFs/moe-training-systems/2504.03871__hetermoe.pdf	https://arxiv.org/pdf/2504.03871.pdf	unread	systems-core
arxiv:2506.04667	FlashMoE	2025	moe-training-systems	Papers/FlashMoE.md	PDFs/moe-training-systems/2506.04667__flashmoe.pdf	https://arxiv.org/pdf/2506.04667.pdf	unread	systems-core
arxiv:2510.02613	ElasticMoE	2025	moe-training-systems	Papers/ElasticMoE.md	PDFs/moe-training-systems/2510.02613__elasticmoe.pdf	https://arxiv.org/pdf/2510.02613.pdf	unread	systems-core
arxiv:2602.11686	LAER-MoE	2026	moe-training-systems	Papers/LAER-MoE.md	PDFs/moe-training-systems/2602.11686__laer-moe.pdf	https://arxiv.org/pdf/2602.11686.pdf	unread	systems-core
arxiv:2402.07033	Fiddler: CPU-GPU Orchestration for Fast Inference of MoE Models	2024	moe-inference-systems	Papers/Fiddler.md	PDFs/moe-inference-systems/2402.07033__fiddler.pdf	https://arxiv.org/pdf/2402.07033.pdf	unread	systems-core
arxiv:2505.16056	Not All Models Suit Expert Offloading	2025	moe-inference-systems	Papers/Not All Models Suit Expert Offloading.md	PDFs/moe-inference-systems/2505.16056__not-all-models-suit-expert-offloading.pdf	https://arxiv.org/pdf/2505.16056.pdf	unread	systems-core
arxiv:2506.12417	HarMoEny	2025	moe-inference-systems	Papers/HarMoEny.md	PDFs/moe-inference-systems/2506.12417__harmony.pdf	https://arxiv.org/pdf/2506.12417.pdf	unread	systems-core
arxiv:2511.14102	MoE-SpeQ	2025	moe-inference-systems	Papers/MoE-SpeQ.md	PDFs/moe-inference-systems/2511.14102__moe-speq.pdf	https://arxiv.org/pdf/2511.14102.pdf	unread	systems-core
arxiv:2512.04476	Context-Aware MoE Inference on CXL-NDP	2025	moe-inference-systems	Papers/Context-Aware MoE CXL-NDP.md	PDFs/moe-inference-systems/2512.04476__context-aware-moe-cxl-ndp.pdf	https://arxiv.org/pdf/2512.04476.pdf	unread	systems-core
arxiv:2605.11537	Fast MoE Inference via Predictive Prefetching and Expert Replication	2026	moe-inference-systems	Papers/Predictive Prefetching and Expert Replication.md	PDFs/moe-inference-systems/2605.11537__predictive-prefetching-expert-replication.pdf	https://arxiv.org/pdf/2605.11537.pdf	unread	systems-core
arxiv:2309.06180	PagedAttention / vLLM	2023	llm-serving-systems	Papers/vLLM PagedAttention.md	PDFs/llm-serving-systems/2309.06180__vllm-pagedattention.pdf	https://arxiv.org/pdf/2309.06180.pdf	unread	systems-core
arxiv:2312.07104	SGLang / RadixAttention	2023	llm-serving-systems	Papers/SGLang RadixAttention.md	PDFs/llm-serving-systems/2312.07104__sglang-radixattention.pdf	https://arxiv.org/pdf/2312.07104.pdf	unread	systems-core
arxiv:2311.18677	Splitwise	2023	llm-serving-systems	Papers/Splitwise.md	PDFs/llm-serving-systems/2311.18677__splitwise.pdf	https://arxiv.org/pdf/2311.18677.pdf	unread	systems-core
arxiv:2401.09670	DistServe	2024	llm-serving-systems	Papers/DistServe.md	PDFs/llm-serving-systems/2401.09670__distserve.pdf	https://arxiv.org/pdf/2401.09670.pdf	unread	systems-core
arxiv:2407.00079	Mooncake	2024	llm-serving-systems	Papers/Mooncake.md	PDFs/llm-serving-systems/2407.00079__mooncake.pdf	https://arxiv.org/pdf/2407.00079.pdf	unread	systems-core
arxiv:2508.01989	TaiChi	2025	llm-serving-systems	Papers/TaiChi.md	PDFs/llm-serving-systems/2508.01989__taichi.pdf	https://arxiv.org/pdf/2508.01989.pdf	unread	systems-core
